2024-05-30 16:06:32,935 (INFO): Waiting for clients to connect on port 35001
2024-05-30 16:06:49,588 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,603 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,622 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,637 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,656 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,672 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,689 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,705 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,722 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,738 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,756 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,773 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,790 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,806 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,824 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,841 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,858 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,874 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,892 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,907 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,926 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,939 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,960 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,972 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,992 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,006 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,026 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,039 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,060 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,072 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,094 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,105 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,127 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,140 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,161 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,173 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,195 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,206 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,229 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,241 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,263 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,274 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,297 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,306 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,331 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,340 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,364 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,376 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,397 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,406 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,434 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,439 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,464 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,473 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,497 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,506 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,531 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,539 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,565 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,573 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,599 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,607 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,632 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,641 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,665 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,674 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,698 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,707 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,731 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,739 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,765 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,773 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,800 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,807 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,833 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,841 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,866 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,875 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,900 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,909 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,934 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,943 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:50,969 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:50,976 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,001 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,009 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,042 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,076 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,109 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,142 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,175 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,208 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,241 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,264 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,264 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,275 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,297 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,308 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,330 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,341 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,364 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,374 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,398 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,408 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,431 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,441 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,464 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,475 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,498 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,509 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,531 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,542 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,565 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,575 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,599 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,609 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,633 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,643 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,667 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,676 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,701 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,710 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,734 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,744 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,768 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,777 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,801 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,811 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,835 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:51,844 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:51,869 (INFO): Adding player ('127.0.0.1', 58316)
